,Tweet,Locations
0,"The AURA AWARE is smart, simple en effective: The smart distance awareness device is a convenient reminder to your… https://t.co/Nz1dnlNDj7",
1,"""People having kept their houses on the market is one silver lining.""

Despite the #coronavirus, there are signs of… https://t.co/QCUpeD9oJm",
2,It all a scam wake up,
3,". @Morning_Joe @MSNBC @Eugene_Robinson 

You know the expression “don’t kick a pile of shit?” 

Evidently, #trump i… https://t.co/HHowyoY6fQ",
4,#Coronavirus: Where and how you should wear face-masks? Professor Kim Roberts explains: https://t.co/2z3KEMDLEu… https://t.co/DDWt2tHXNu,
5,"Till now 1036 people have been cured. Yesterday 179 people were diagnosed and found cured: Lav Aggarwal, Joint Secr… https://t.co/aHIusSwUwc",
6,"In our world we must fight for justice.

#QAnon #QAnons #QanonArmy #QArmy #QAnon2020 #BillGatesVirus… https://t.co/Ylv9VBSZj4",
7,"Dr. Berg is a respected, trusted Doctor! Finally someone that people will listen to that is telling us the truth ab… https://t.co/WAGeYDmLes",
